college_name,department,cutoff_oc,cutoff_bc,cutoff_mbc,cutoff_bcm,cutoff_sc,cutoff_st,cutoff_sca,year
"University Departments of Anna University, Chennai - CEG Campus",BIO MEDICAL ENGINEERING (SS),196.0,191.0,192.5,193.5,183.5,,167.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",CIVIL ENGINEERING,194.5,191.0,193.0,189.5,185.0,,187.5,2022.0
"University Departments of Anna University, Chennai - CEG Campus",COMPUTER SCIENCE AND ENGINEERING (SS),198.5,198.5,198.0,199.0,196.5,,189.5,2022.0
"University Departments of Anna University, Chennai - CEG Campus",COMPUTER SCIENCE AND ENGINEERING,201.0,200.5,198.5,199.5,198.0,191.0,196.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRONICS AND COMMUNICATION ENGINEERING,199.0,198.0,199.5,197.0,197.5,,195.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRICAL AND ELECTRONICS ENGINEERING,198.0,196.0,197.0,196.0,193.5,189.5,186.5,2022.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRONICS ENGINEERING(VLSI DESIGN AND TECHNOLOGY),196.0,197.0,195.0,195.0,190.0,163.5,,2022.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.0,199.0,198.0,198.0,193.0,181.5,192.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",GEO INFORMATICS,191.5,188.5,185.0,189.5,176.5,,175.5,2022.0
"University Departments of Anna University, Chennai - CEG Campus",INDUSTRIAL ENGINEERING,190.0,185.5,184.5,187.0,177.0,166.5,163.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",INFORMATION TECHNOLOGY (SS),197.5,198.5,198.5,197.0,194.0,194.0,190.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",MATERIAL SCIENCE AND ENGINEERING (SS),190.5,185.0,184.5,188.5,175.5,,158.5,2022.0
"University Departments of Anna University, Chennai - CEG Campus",MECHANICAL ENGINEERING,195.5,193.0,192.0,192.5,186.0,184.0,183.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",MINING ENGINEERING,190.5,186.0,190.0,186.5,180.0,,164.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",MANUFACTURING ENGINEERING,189.59,183.5,185.0,185.5,174.0,167.5,165.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",PRINTING AND PACKING TECHNOLOGY,183.5,175.5,173.5,166.0,166.5,167.0,148.0,2022.0
"University Departments of Anna University, Chennai - CEG Campus",CIVIL ENGINEERING (TAMIL MEDIUM),187.91,178.5,182.0,181.5,168.0,,155.5,2022.0
"University Departments of Anna University, Chennai - CEG Campus",MECHANICAL ENGINEERING (TAMIL MEDIUM),188.5,180.5,178.5,185.5,163.0,158.0,,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",APPAREL TECHNOLOGY (SS),172.0,163.5,158.0,158.0,152.0,152.0,,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",CHEMICAL ENGINEERING,193.0,191.0,190.5,191.0,182.0,158.0,181.0,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",CHEMICAL ENGINEERING (SS),189.5,187.5,185.5,189.0,176.0,147.5,163.5,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",CERAMIC TECHNOLOGY (SS),174.5,165.5,168.5,156.5,150.5,176.5,131.0,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",FOOD TECHNOLOGY (SS),183.5,179.0,179.0,183.0,170.5,,,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",INDUSTRIAL BIO TECHNOLOGY,192.5,187.5,188.5,191.0,174.5,,168.0,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",INDUSTRIAL BIO TECHNOLOGY (SS),191.5,186.0,181.0,190.5,180.0,,160.5,2022.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",LEATHER TECHNOLOGY,170.5,163.0,158.0,157.0,157.0,,119.5,2022.0
