college_name,department,cutoff_oc,cutoff_bc,cutoff_mbc,cutoff_bcm,cutoff_sc,cutoff_st,cutoff_sca
"University Departments of Anna University, Chennai - CEG Campus",BIO MEDICAL ENGINEERING (SS),195.0,192.0,193.0,193.0,182.5,,168.0
"University Departments of Anna University, Chennai - CEG Campus",CIVIL ENGINEERING,195.0,192.0,193.5,190.0,186.0,,188.5
"University Departments of Anna University, Chennai - CEG Campus",COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199.0,199.0,198.0,195.5,,190.5
"University Departments of Anna University, Chennai - CEG Campus",COMPUTER SCIENCE AND ENGINEERING,200.0,199.5,199.5,198.5,197.5,191.5,195.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRONICS AND COMMUNICATION ENGINEERING,199.5,199.0,198.5,197.5,197.0,,196.0
"University Departments of Anna University, Chennai - CEG Campus",ELECTRICAL AND ELECTRONICS ENGINEERING,197.5,196.5,196.0,196.5,192.5,190.0,187.5
"University Departments of Anna University, Chennai - CEG Campus",ELECTRONICS ENGINEERING(VLSI DESIGN AND TECHNOLOGY),197.0,196.5,195.5,194.5,191.0,164.0,
"University Departments of Anna University, Chennai - CEG Campus",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),198.5,198.5,197.5,197.5,194.0,180.5,191.5
"University Departments of Anna University, Chennai - CEG Campus",GEO INFORMATICS,191.0,188.0,186.0,189.0,177.0,,175.0
"University Departments of Anna University, Chennai - CEG Campus",INDUSTRIAL ENGINEERING,190.5,186.0,185.0,186.0,176.5,167.0,163.5
"University Departments of Anna University, Chennai - CEG Campus",INFORMATION TECHNOLOGY (SS),198.5,198.0,197.5,197.5,193.5,193.0,191.0
"University Departments of Anna University, Chennai - CEG Campus",MATERIAL SCIENCE AND ENGINEERING (SS),189.5,186.0,185.0,189.0,175.0,,157.5
"University Departments of Anna University, Chennai - CEG Campus",MECHANICAL ENGINEERING,194.5,192.5,192.5,193.5,187.0,184.5,182.5
"University Departments of Anna University, Chennai - CEG Campus",MINING ENGINEERING,191.5,186.5,189.5,186.0,181.0,,164.5
"University Departments of Anna University, Chennai - CEG Campus",MANUFACTURING ENGINEERING,188.59,184.0,184.5,186.5,175.0,168.5,164.0
"University Departments of Anna University, Chennai - CEG Campus",PRINTING AND PACKING TECHNOLOGY,184.5,176.5,173.0,166.5,167.0,167.5,149.0
"University Departments of Anna University, Chennai - CEG Campus",CIVIL ENGINEERING (TAMIL MEDIUM),188.41,179.0,181.5,181.0,167.0,,156.5
"University Departments of Anna University, Chennai - CEG Campus",MECHANICAL ENGINEERING (TAMIL MEDIUM),187.5,179.5,179.0,186.0,163.5,158.5,
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",APPAREL TECHNOLOGY (SS),171.5,164.0,157.5,158.5,152.5,152.5,
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",CHEMICAL ENGINEERING,192.5,190.5,189.5,190.0,181.5,159.0,180.5
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",CHEMICAL ENGINEERING (SS),190.0,187.0,186.0,189.5,177.0,148.5,164.5
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",CERAMIC TECHNOLOGY (SS),175.0,166.5,168.0,155.5,149.5,175.5,130.5
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",FOOD TECHNOLOGY (SS),184.5,180.0,180.0,182.0,171.5,,
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",INDUSTRIAL BIO TECHNOLOGY,192.0,188.0,189.0,190.5,174.0,,167.5
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",INDUSTRIAL BIO TECHNOLOGY (SS),190.5,187.0,182.0,189.5,179.5,,161.5
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",LEATHER TECHNOLOGY,171.0,162.0,158.5,156.5,157.5,,119.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",PHARMACEUTICAL TECHNOLOGY (SS),185.0,178.0,179.0,179.0,164.5,,134.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",PETROLEUM ENGINEERING AND TECHNOLOGY (SS),185.5,178.0,179.5,178.5,174.5,164.0,162.0
"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai",TEXTILE TECHNOLOGY,175.5,164.0,160.5,154.5,164.0,,119.0
"School of Architecture and Planning, Anna University,Chennai",B.PLAN,187.0,179.0,179.0,178.0,167.0,,165.385
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",AERONAUTICAL ENGINEERING,196.0,193.5,194.0,190.5,191.5,168.0,175.5
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),198.0,197.5,197.0,196.0,193.5,,188.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",AUTOMOBILE ENGINEERING,191.5,189.0,187.5,189.0,179.5,,164.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",COMPUTER SCIENCE AND ENGINEERING (SS),198.0,197.5,197.0,197.0,193.0,186.5,190.5
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",COMPUTER SCIENCE AND ENGINEERING,199.0,198.5,197.5,198.0,195.5,194.0,190.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ELECTRONICS AND COMMUNICATION ENGINEERING,198.0,197.5,197.0,197.0,193.5,193.5,191.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ELECTRONICS AND INSTRUMENTATION ENGINEERING,196.0,195.0,194.5,194.5,187.5,163.0,
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),197.5,197.0,196.5,196.5,192.0,182.5,190.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",INFORMATION TECHNOLOGY (SS),197.25,196.5,196.5,197.0,191.5,188.5,185.5
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",PRODUCTION ENGINEERING,188.5,183.5,183.0,186.0,178.5,,167.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",ROBOTICS AND AUTOMATION (SS),195.5,194.5,193.5,195.5,187.0,,183.0
"University Departments of Anna University, Chennai - MIT Campus, Chrompet",RUBBER AND PLASTIC TECHNOLOGY,181.33,173.5,171.5,172.5,165.0,,146.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),171.0,148.5,155.5,167.0,149.5,143.0,146.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",CIVIL ENGINEERING,142.5,99.0,87.0,89.0,120.0,112.0,
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),163.5,142.5,149.5,146.0,150.5,,144.5
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",CHEMICAL ENGINEERING,154.0,111.5,93.5,115.5,122.0,132.0,147.5
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",COMPUTER SCIENCE AND ENGINEERING,174.0,155.5,153.5,144.0,157.0,156.0,115.5
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",CIVIL AND STRUCTUTRAL ENGINEERING,127.0,110.0,84.0,,95.0,,
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",ELECTRONICS AND COMMUNICATION ENGINEERING,167.0,151.0,148.0,141.0,142.5,129.5,
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",ELECTRICAL AND ELECTRONICS ENGINEERING,148.5,95.0,125.0,119.0,120.5,,112.5
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",ELECTRONICS AND INSTRUMENTATION ENGINEERING,138.5,94.5,113.5,86.5,111.0,,125.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",INFORMATION TECHNOLOGY,164.5,144.0,151.0,146.0,144.0,147.0,146.0
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",MECHANICAL ENGINEERING,134.5,89.5,91.0,121.5,104.0,,
"Faculty of Engineering, Annamalai University, Annamalai Nagar,Chidamparam",MECHANICAL ENGINEERING (MANUFACTURING),122.5,84.5,83.5,93.0,96.0,,
